description,technicalName
Goods Issue Month,0CALMONTH
Key Figures,Z_ZMF_MC12_T002
Sales Doc. Item,0S_ORD_ITEM
Delivery,0DELIV_NUMB
Delivery Item,0DELIV_ITEM
Shipment Numb - Master,ZTKNUM_M
Carrier (SH),ZTDLNR_SH
Ship-To TZone,0SHIP_TO__ZLZONE
Ship-To State,0SHIP_TO__0REGION
Transportation Planning Point,0TRAPPOINT
Ship-To Postal,0SHIP_TO__0POSTAL_CD
Shipping Type (SH),0SHIPPTYP
Route (OH),0ROUTE
Late Order Code,ZKDKG2
Dt - (DH) Goods Issue Actual,0ACT_GI_DTE
Batch Number,0BATCH
Dt - (DH) Created On,0CREATEDON
Dt - (DH) Goods Issue Actual Mth,ZGI_MON
Dt - (DH) Goods Issue Actual Qtr,ZGI_QUR
Dt - (DH) Goods Issue Actual Year,ZGI_YRY
Dt - (DH) Goods Issue Actual Week,ZGI_WEK
Dt - (DH) Goods Issue Plan,ZWADAT
STAS - Delivery Status (OI),0DLV_STS
Dt - (OI) Customer Requested Del FSL,ZEDATU_LF
Dt - (OI) Customer Requested Del LSL,ZEDATU_LL
Dt - (OI) Customer Requested Del (Confirmed),ZEDATU_LC
Dt - (OI) Goods Issue Plan,ZWADAT_LF
Dt - (OI) Goods Issue Plan (Confirmed),ZWADAT_LC
Dt - (OI) Goods Issue Plan Last,ZWADAT_LL
High Level Doc. Item,0BBP_PAR_NO
Your Reference (Trade),ZITM_OI__ZIHREZ_OI
Incoterms,0INCOTERMS
Incoterms 2,0INCOTERMS2
Dt - (STO) Last GR Date,ZITM_OI__ZLSTGR_DT
Sales Doc. Type,0DOC_TYPE
FLAG - Trade/STO/Consign.,ZSTO_IND
Reason for Order,0ORD_REASON
STAS - Overall status,ZGBSTA
Plant State,0PLANT__0REGION
Delivery Priority,ZASOLD_TO__ZLPRIO
Value Center,0PROFIT_CTR__ZBVALCTR
Ship To Area,0SHIP_TO__ZRWRLDARE
Dt - (OI) ATP first,ZITM_OI__ZFDDCBA
Dt - (OI) ATP last,ZITM_OI__ZATPDT_OI
Plan Product,0MATERIAL__ZBPLNPROD
Dangerous Goods Indicator,ZTKNUM_M__ZCONT_DG
Dt - (SH) Check In Planned,0DTCHKIN_PL
Dt - (SH) Loading End Planned,0DTLOADE_PL
Dt - (SH) Loading Start Planned,0DTLOADB_PL
Dt - (SH) Shipment Start Planned,0DTSHP_B_PL
Dt - (SH) Loading Start Actual,0DTLOADBACT
Dt - (SH) Loading End Actual,0DTLOADEACT
Dt - (SH) Shipment Start Actual,0DTSHP_BACT
Tm - (SH) Shipment End Actual,ZUATEN
Tm - (SH) Check In Actual,ZUAREG
Tm - (SH) Loading End Actual,ZUALEN
Tm - (SH) Loading Start Actual,ZUALBG
Tm - (SH) Shipment Start Actual,ZUATBG
Tm - (SH) Check In Planned,ZUPREG
Tm - (SH) Shipment Completion Planned,ZUPABF
Tm - (SH) Loading End Planned,ZUPLEN
Tm - (SH) Loading Start Planned,ZUPLBG
Tm - (SH) Shipment End Planned,ZUPTEN
Tm - (SH) Shipment Start Planned,ZUPTBG
Tm - (SH) Transp. Planning End,ZUZDIS
Tm - (SH) Shipment Completion Actual,ZUZABF
Tm - (OI) Customer Requested Del LSL,ZEZEIT_LL
Tm - (OI) Customer Requested Del FSL,ZEZEIT_LF
Payment Terms (Master),ZASOLD_TO__0PMNTTRMS
Payment Terms (OH),ZPMNTTROH
Payment Terms (OI),0PMNTTRMS
Loading Point,0LOAD_PT
Dt - (DH) POD Date,ZPODAT
STAS - POD Status,ZPDSTK
Variance Reason,ZGRUNDPOD
Business,0PROFIT_CTR__ZBBUSINES
Business Group,0PROFIT_CTR__ZBBUSGRP
Management Group,0PROFIT_CTR__ZBDIVSION
Performance Center,0PROFIT_CTR__ZBPERFCTR
Trade Product,0MATERIAL__0EXTMATLGRP
Spec Stock Partner,ZSBPARTNR
Dt - (M) Material Doc Posting,ZBUDAT
Plant - Shipping,0PLANT
STAS - Billing Status (DH),ZFKSTK
Late Delv Code,ZVSTGA_A
Late Ship Code,ZVSTGA_D
Voyage No,ZEXTI1
Carrier Booking,ZTKNUM_M__ZCAR_BOOK
Carrier (Direct Leg),ZTKNUM_M__ZFAGENT_4
Carrier (Main Leg),ZTKNUM_M__ZFAGENT_2
Carrier (Preli. Leg),ZTKNUM_M__ZFAGENT_1
Carrier (Return Leg),ZTKNUM_M__ZFAGENT_5
Carrier (Subs. Leg),ZTKNUM_M__ZFAGENT_3
Cont / Trailer ID,ZTKNUM_M__ZTRAILRID
